trial,image_path,true_label,finch_cluster,kmeans_cluster
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140511.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140513.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140514.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140516.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140517.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140518.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140520.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140522.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140523.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140525.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140539.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140540.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140542.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140544.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140545.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140547.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140548.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140550.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140555.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140556.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140558.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140559.jpg,0,0,11
2,C:\Users\HP\novelty\split_datasets\trial_2\32labeled_20unlabeled\unlabeled\Agave demeesteriana Jacobi\IMG_20241109_140600.jpg,0,0,11
